status_type,status_published,num_reactions,num_comments,num_shares
video,4/22/2018 6:00,529,512,262
photo,4/21/2018 22:45,150,0,0
video,4/21/2018 6:17,227,236,57
photo,4/21/2018 2:29,111,0,0
photo,4/18/2018 3:22,213,0,0
photo,4/18/2018 2:14,217,6,0
video,4/18/2018 0:24,503,614,72
video,4/17/2018 7:42,295,453,53
photo,4/17/2018 3:33,203,1,0
photo,4/11/2018 4:53,170,9,1
photo,4/10/2018 1:01,210,2,3
photo,4/9/2018 2:06,222,4,0
photo,4/8/2018 5:10,313,4,2
photo,4/8/2018 2:23,209,4,0
photo,4/5/2018 9:23,346,11,0
video,4/1/2018 5:16,332,100,30
video,3/30/2018 8:28,135,256,79
video,3/26/2018 8:28,150,173,47
video,3/23/2018 7:09,221,166,36
photo,3/22/2018 1:25,152,2,0
photo,3/21/2018 8:40,234,15,1
photo,3/21/2018 7:46,227,7,1
photo,3/20/2018 1:54,98,0,0
video,3/20/2018 1:28,18,0,0
photo,3/20/2018 0:15,102,0,0
video,3/19/2018 22:34,37,0,1
video,3/17/2018 8:07,75,36,14
video,3/17/2018 7:47,90,78,9
photo,3/12/2018 5:51,145,9,0
video,3/9/2018 7:45,253,300,31
photo,3/9/2018 5:55,85,0,0
video,3/7/2018 13:10,45,14,0
photo,3/7/2018 6:13,92,0,0
photo,3/7/2018 4:46,125,1,0
photo,3/5/2018 8:32,119,4,0
photo,3/5/2018 2:48,293,8,0
video,3/2/2018 9:55,128,137,26
photo,2/28/2018 8:19,84,15,13
photo,2/28/2018 1:43,66,11,6
video,2/26/2018 8:50,171,292,28
video,2/25/2018 10:13,90,72,23
video,2/21/2018 0:19,139,39,9
video,2/19/2018 0:11,236,181,21
video,2/18/2018 7:15,225,210,34
photo,2/17/2018 22:30,275,12,0
video,2/17/2018 4:15,372,456,37
photo,2/15/2018 3:47,445,9,0
video,2/14/2018 8:23,128,60,11
video,2/13/2018 1:16,186,235,46
video,2/12/2018 3:28,309,444,36
photo,2/11/2018 5:55,77,11,3
video,2/10/2018 7:54,119,72,28
photo,2/9/2018 1:48,100,21,13
video,2/8/2018 9:14,240,255,111
video,2/7/2018 8:35,164,136,48
video,2/6/2018 8:46,202,327,42
video,2/5/2018 9:20,211,284,46
video,2/4/2018 3:25,148,114,16
video,2/3/2018 8:34,97,81,16
video,2/2/2018 9:24,279,292,34
photo,2/2/2018 7:08,263,8,0
video,2/2/2018 6:01,177,193,34
photo,1/28/2018 7:50,517,32,1
video,1/28/2018 5:25,289,258,33
photo,1/26/2018 13:03,66,13,0
photo,1/26/2018 13:02,112,6,0
